toma,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10
1,1,1,1,1,1,0,0,0,0,0
2,0,0,1,1,1,0,0,0,0,0
3,0,1,0,0,1,0,1,0,0,0
4,1,1,0,0,0,0,1,1,0,0
5,0,1,0,1,0,0,0,1,0,0
6,1,1,0,1,1,0,0,0,0,0
7,1,1,0,1,1,0,0,0,0,0
8,1,1,0,0,0,1,0,0,0,0
9,1,1,0,1,0,0,0,0,0,0
10,1,1,0,0,0,1,0,0,1,0
11,1,1,1,0,1,0,0,1,0,0
12,1,1,1,1,0,1,0,0,0,0
13,1,0,0,1,1,0,0,0,0,0
14,1,0,1,0,0,1,0,0,0,0
15,1,1,0,0,0,0,1,0,0,0
16,0,0,0,1,0,0,0,0,0,1
17,1,0,1,0,0,0,0,0,0,0
18,0,0,1,0,0,1,0,0,0,0
19,1,0,1,0,0,0,0,0,0,0
20,1,0,1,1,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,1,0
22,1,1,1,1,0,0,0,0,0,0
23,1,0,1,0,0,0,0,0,0,0
24,0,0,1,0,0,0,0,0,0,0
25,1,1,0,1,0,0,0,0,0,1
26,1,0,1,0,0,0,1,0,1,0
27,0,0,1,1,0,0,0,0,0,0
28,1,0,0,1,0,0,0,0,0,0
29,1,0,0,0,1,1,0,0,0,0
30,1,0,1,0,0,0,0,0,0,0
